tweet	sentiment	description	lon	lat	date	number
*gets text message* ooooooo i wonder who it gonna be *opens phone* mom: do your homework	sadness	 neglected grief ignored invisible unloved guilty 	-121.094205	37.706727	2014-09-25	38
*ios8 requires 4.7 gb*.... oh.. lol! phone is only 8g lmfao! 😭😂	disgust	 terrible bitter meh boredom shame 	-82.975166	42.248199	2014-09-28	39
*piers sorry. i'm my excitement my phone autocorrected my ass	sadness	 embarrassed ignored unloved regret ashamed 	-3.938895	56.125078	2014-09-18	40
"*response “@tigoghana: @mitchy_chudson  thanks for the promt respond. as communicated to you on phone,”"	trust	 appreciated kind honored creative professional 	-1.613408	6.659107	2014-09-09	41
"*slowly retreats from vibrating phone, regrets cleverness immediately*"	sadness	 pained broken unwanted grief trapped 	-72.214189	42.593117	2014-09-19	42
*tweets hit my phone but knows damn well know one gonna do it	sadness	 unloved embarrassed ignored trapped helpless 	-77.574234	38.741995	2014-09-17	43
", bouta bomb his phone , never did that before i just miss him so much"	sadness	 sad regret hopeless grief unloved 	-90.034374	29.936269	2014-09-13	44
", just up .. phone full of people i don't wanna talk to sooooo it's dry 😦"	sadness	 ignored discouraged miserable hopeless depressed 	-101.815602	35.175682	2014-09-06	45
#NAME?	anger	 pissedoff anger mad angry annoyed 	-117.369845	34.090227	2014-09-19	46
"- i took one of nana & kimora  , shit came out pretty to say i wasn't looking at the camera 😂😭✋"	sadness	 ashamed embarrassed regret devastated hopeless nostalgic 	-80.225508	33.689742	2014-09-12	47
"- phone going on do not disturb , ion get no text messages from mark anyways 😂✋ #shitsad lol"	sadness	 invisible ignored useless unloved overwhelmed guilty 	-83.157992	42.431078	2014-09-13	48
- praise my sisters soul for bringing me her phone charger so my phone doesn't die.	sadness	 unloved neglected devastated broken alone broke 	-71.856531	42.214764	2014-09-27	49
"- ugh, computer charger isn't working right again. unplugged it and the whole thing shut off. grrrrr."	anger	 aggravated grumpy pissedoff furious rage angry fedup irritated 	-91.793307	33.621209	2014-09-24	50
. @tim_cook and apple to the rescue. they called me to replace my phone. 2 days earlier than @bestbuysupport and @bestbuy can respond.	sadness	 unloved ignored unhappy embarrassed challenged 	-122.317084	47.661247	2014-09-30	51
. i'm bouta cry cause how bad my phone doing me right now 😡😡😡	sadness	 helpless nostalgic overwhelmed miserable depressed unhappy 	-90.074146	29.863158	2014-09-29	52
... kmflll. my phone miss and sign out all both of our accounts and ion remember her password !	trust	 kind appreciated safe complete professional 	-77.34008	25.034577	2014-09-10	53
.or he got a broke nigga fuck boy phone with green text boxes and shit with some bullshit battery life. #definitelyleavethatnigga	disgust	 dumb horrible regret lame rough 	-76.878835	39.217314	2014-09-06	54
1 1/2 hours on the phone. haven't felt like that since middle school.	disgust	 horrible rough terrible blah awful 	-97.50019	25.948849	2014-09-03	55
"1 job applied for, another 5 todo tomorrow when i get my hands on the laptop 👍"	anticipation	 anticipation anxious undecided optimistic needed delighted accomplished ecstatic productive 	-2.556378	51.775542	2014-09-17	56
1 other person at the damn pool (lifeguard) and this bitch decides to sit next to me and bitch on the phone for an hour -_- moooove bitch	anger	 rage mad pissedoff pissed irritated 	-80.249059	26.076085	2014-09-05	57
"1%...my phone is about to die on me any second now, thanks apple you fuckheads."	sadness	 broken devastated sadness grief broke 	-88.24756	41.746115	2014-09-03	58
11 days and i'll have my new stereo in my car and will be able to play music off my phone 😆	joy	 productive peaceful relieved accomplished relaxed 	-92.221495	46.73892	2014-10-01	59
"11:11 money, new phone, food, followback from maris @marstellaracal , high grades, lamna! :))"	joy	 rested welcome ecstacy satisfied productive 	121.125978	14.695346	2014-09-28	60
123 conversations on my phone. i couldn't delete a text message even if my life depended on it.	sadness	 useless unloved ignored hopeless embarrassed 	-118.284782	34.091847	2014-09-24	61
13 and half hours until i can give over the on-call phone! 🙏 it's been a long and eventful week!	anticipation	 optimism optimistic needed anxious hopeful butterflies relieved delighted 	-84.5835	34.042542	2014-09-29	62
15 minutes ain't enough time on the phone 😩😩😩 shit be over in 2 seconds😔😔	sadness	 down unwanted trapped miserable useless 	-73.049232	41.558769	2014-09-13	63
2 things i need in life right now: my hair done and a new phone	joy	 relaxed accomplished productive spoiled satisfied 	-123.266529	44.223413	2014-09-24	64
2 weeks with my new computer and brendan already put a virus on it...... 😒	sadness	 hopeless embarrassed broken ashamed regret 	-70.99163	42.219548	2014-09-03	65
"2/2 vicc industrial zone, electronics cluster, metro rail & food park,lng pipeline extension for vizag."	joy	 festive privileged jolly satisfied blissful empowered kind secure appreciated admiration 	83.306209	17.733736	2014-09-04	66
20 mins of talking on the phone but its ok 😌 i dont blame you at all .	sadness	 conflicted ashamed upset sadness useless alone unloved 	103.720332	1.350701	2014-09-22	67
20 rts and i'll murder the camera man and his family tomorrow at picture day!!! 👍👍👍👍👍🙌🙌👏👏🙏🙏🙏🙏🙏	trust	 appreciated pride safe honored ready 	-115.056226	36.043915	2014-09-17	68
21 day challenge. don't use your smart phone in the presence of another human. love it. #unconv14 @naomisimson	trust	 crafty safe acceptance creative complete stuck 	151.206233	-33.873055	2014-09-06	69
"23 messages, 13 dms, 19 snapchats... guys i only didn't have my phone for one night."	sadness	 unloved ashamed unhappy helpless sadness 	-83.311599	42.550897	2014-10-01	70
24 hours without a phone and tv and no one to talk to but at least i have food	sadness	 unloved invisible miserable lonely hopeless alone useless sadness 	-82.540899	27.362128	2014-09-25	71
25 minute phone call arguing about the same thing and going round in circles about it 😴 cheers pal	sadness	 upset undecided nostalgic devastated useless 	-1.131642	52.581297	2014-09-18	72
2:30 am is not the time to be going through my camera roll and reminiscing on all of the great concerts i went to this summer.	joy	 productive refreshed accomplished peaceful relieved 	-80.552037	37.138786	2014-09-27	73
3 nights in a row my phone has went at a stupid hour.  gavin fuck off.	anger	 grumpy pissedoff furious rage angry pissed 	-3.135422	55.946153	2014-09-23	74
30 min phone call with @alexguids76 just isnt enough to catch up :(	sadness	 unhappy invisible useless miserable challenged 	-84.355543	46.543407	2014-09-30	75
30 minutes phone call with breezy made this whole day better. #missher	joy	 refreshed productive accomplished rested relaxed 	-121.870554	39.752739	2014-09-19	76
"3rd wheeling carlie to find some deftys phone outside furys, get me hame"	sadness	 unhappy unloved hopeless useless grief 	-4.425691	55.843644	2014-09-13	77
4 messages and a miss called while i was sleep  i swear i ain't hear my phone at all lol	sadness	 neglected embarrassed unloved ignored broken trapped 	-90.819776	29.756484	2014-09-04	78
4 people get my tweets to there phone. i feel so bad for them.	anger	 irritated mad angry bummed anger annoyed 	-81.400761	29.805434	2014-09-14	79
40 minute phone call with my babe! miss you cutie 👭💞 @jackmyweenie	joy	 butterflies spoiled lucky inlove loved 	-122.959791	47.040705	2014-09-24	80
5 hour phone call with mummy dakhla at 7:30am is going fabulously 👌	joy	 productive refreshed rested satisfied optimistic 	-1.546581	53.813484	2014-09-27	81
6 page paper due wednesday but i'm sitting here with an open laptop eating pretzels and tweeting so that's where my life's at	joy	 content productive accomplished fantastic relaxed alive 	-89.416256	43.077852	2014-09-29	82
60% on my phone and i haven't even made if through 1st period	sadness	 incomplete ashamed embarrassed unloved useless 	-118.140123	33.777774	2014-09-03	83
7 days until i'm back in front of the camera... definitely needing some new bits!	anticipation	 giddy focused needed anxious stoked ready 	-0.269952	50.83336	2014-09-05	84
70% of people feel incomplete & vulnerable while without their cell phone.	sadness	 ignored neglected helpless unwanted trapped 	41.299998	20.158256	2014-09-24	85
"8,000 miles away an i still needed @leannecainn help setting up my phone 😒 clever clogs 👌"	sadness	 ignored unwanted broke embarrassed helpless upset 	-2.777729	53.369769	2014-09-19	86
9% remaining? just gonna wait till my phone dies then go to bed	anticipation	 needed optimistic impatient stressed pumped homesick 	-76.829751	18.030733	2014-09-05	87
924. i'm in bed. cause. well. seems like people can't answer the phone. k. bye.	sadness	 neglected unloved hopeless unhappy regret broken 	-101.069087	36.957194	2014-09-14	88
"95% of the time when i'm smiling at my phone it's because of something i said, not something someone sent me😂"	sadness	 embarrassed regret broke hopeless depressed 	-81.608878	30.119777	2014-09-04	89
99% chance i won't have any texts from anyone when i get my phone fixed	sadness	 hopeless unloved useless neglected broke sadness 	-111.613509	33.360574	2014-09-10	90
<----- the @myspacetom i pulled when my family got out first computer. 😂	sadness	 embarrassed incomplete sadness neglected helpless unloved 	-82.144101	33.41823	2014-09-22	91
>walks away from twitter on computer >opens twitter on phone  i wont miss a thing. even though nothing is even happening.	sadness	 trapped hopeless conflicted neglected helpless unloved 	-79.718248	43.58953	2014-09-02	92
@0ny4l1_97 can you text me 7534828 i think i left my camera in your car	sadness	 helpless unwanted devastated useless upset 	-122.476946	47.27801	2014-09-27	93
@17shadowoflife leave ur phone aside and don't take naps :b excezise	sadness	 challenged unwanted undecided neglected trapped helpless 	103.765959	1.387334	2014-09-24	94
@1989_1985 yeah it will work soon. i lost a phone but by next week izobe seyisebenza	trust	 optimism hopeful optimistic confident motivated 	30.061727	-30.152466	2014-09-15	95
"@1_clean_stean i feel ya. well my texts will be in your phone when i come back, you better be replyin"	sadness	 ignored useless hopeless broken devastated 	-80.104417	26.367965	2014-09-06	96
@1darkrai0 i don't need to do that much on my phone though. that's what my laptop is for. id rather be able to find my stuff	sadness	 hopeless broke conflicted miserable ignored embarrassed 	-95.747761	34.950882	2014-09-10	97
@1iota_support also do i need to print out ticket or can i have it on my phone?	sadness	 undecided challenged broke unhappy conflicted 	-117.887704	33.813475	2014-09-17	98
@1ne_lov3 @cliftonvillefc anyone that doesnt have chrome on their phone ain't gonna be able to bring up the ticket print it or screenshot it	sadness	 invisible devastated down unloved neglected useless 	-5.93495	54.580561	2014-09-02	99
"@2trilltb whatever you'd like, just not fam . where your phone at ? 🙇"	sadness	 ignored grief unloved neglected unwanted 	-95.55307	29.532103	2014-09-01	100
@3vawall3 tryna chill nigga? text me i broke my phone and had to activate an old one	anger	 aggravated mad furious pissedoff irritated 	-76.134464	36.830598	2014-09-20	101
"@510mrbate yeah, it definitely is! too bad i couldn't leave my work phone! lol"	sadness	 trapped devastated challenged useless embarrassed 	-111.89698	39.216734	2014-09-25	102
@58_tjackson might as well save me in your phone as that 😂💁	sadness	 hopeless useless unloved devastated betrayed ashamed 	-77.203494	39.687907	2014-09-19	103
@5sos @bbcr1 i watched it from my computer and it was amazing :). x	joy	 fantastic accomplished satisfied fabulous relaxed refreshed 	-0.644038	53.124914	2014-09-04	104
@7hillsrunshop awesome! i'll be running around with a camera :)	joy	 butterflies warm glad refreshed festive blissful peaceful ecstatic 	-106.154842	39.500299	2014-09-05	105
@945kfm it would be a dream come true to win tickets to #5sosderpcon please ill sell my laptop and and everything for this!! #5sosrollcall	trust	 hopeful hope optimistic inspired pretty determined anxious desperate 	18.552154	-33.89296	2014-09-06	106
@9and10news even with a phone call and email i still can't believe i won the #mackinawislandgetaway #isthisreallife	sadness	 embarrassed unhappy ignored nostalgic upset 	-86.095757	43.956614	2014-09-03	107
"@___xoxomattie yeaaa, love it. no nagging or none of that even though i still get cursed out over the phone"	sadness	 unloved overwhelmed invisible upset trapped useless grief 	-76.155244	43.08168	2014-09-29	108
@__a1lex lol leave her alone her generation is a lot faster than ours justin has cell phone lol	surprise	 naughty strange impressed surprise 	-80.82313	35.214367	2014-09-10	109
@__finessekingg no it's not your phone just can't handle the power of ios 8 cause you watch too much porn	sadness	 useless hopeless ignored guilty ashamed devastated 	-77.308701	38.577043	2014-09-19	110
@__hall__ probably because you can't talk to anyone bc you don't have a phone. 😂	sadness	 ignored invisible helpless unwanted unloved 	-84.671033	43.4569	2014-09-29	111
@__jacobanthony hell no i head sprint sucks lol. what phone are you getting	disgust	 terrible ugly bitter awful horrible 	-97.830627	30.188838	2014-09-16	112
"@__martinamarie waahh for real, currently eye fucking my phone screen lool!! :') mmm better than chipotle haha!!"	joy	 relieved fantastic relaxed accomplished fabulous 	-1.175576	51.982347	2014-09-06	113
@__monieeee bitch stop sending me pictures my phone off and i cant get them	anger	 aggravated irritated anger mad angry 	-77.024626	38.940604	2014-09-20	114
@__nilyac__ @_easyt_ like i left my phone @ school and somebody had it i stampp😂👏	sadness	 unwanted betrayed trapped devastated depressed upset hopeless 	-77.075167	39.092516	2014-09-15	115
@__standingabove okay my phone in the other room and in getting my hair flat iron i'll facetime right back	sadness	 trapped neglected unloved ashamed regret hopeless 	-83.154422	42.404121	2014-09-17	116
@__starstatus i gotta tell you so much to ima call you off my auntie phone !!!!	joy	 loved spoiled lucky delighted joy 	-86.682478	33.611314	2014-09-08	117
"@__zyyyy i miss you more, i lost my phone you know i would've been texted you!"	sadness	 upset regret broken sadness depressed devastated ashamed 	-90.119601	29.968816	2014-09-06	118
@_aceitho cause you can't update your phone when its jail broken so i had to reset my phone now all my stuff gone ..	sadness	 useless ignored devastated unloved hopeless broke 	-83.698819	32.80548	2014-09-24	119
@_acervantes22 cause remember i had your phone for a while lmao .	sadness	 unloved embarrassed broke guilty ashamed 	-121.749426	36.92552	2014-09-13	120
@_aliyyyaa same thing happened to me 😭. i think i know who gave them my phone number.	sadness	 ashamed unloved regret hopeless sadness embarrassed devastated upset 	-93.292143	45.040119	2014-09-26	121
@_alyssax lyss it's alyssa lol my phone is dead can u tell dreamer to dm anthony	sadness	 ignored incomplete unhappy devastated trapped sadness unwanted 	-88.174316	41.664813	2014-09-18	122
@_annabr0wn there's like 10 more on my phone. when did you take those?	sadness	 trapped unhappy useless incomplete hopeless 	-84.506869	38.995833	2014-09-29	123
@_brridge same but bae doesn't have my phone number and i think he's iffy on knowing my name	sadness	 unloved undecided ignored hopeless embarrassed upset 	-118.080015	33.936841	2014-09-27	124
"@_chelskeenan argh why did he try set it on fire and not just phone the police the twat, knew exactly what was coming!"	disgust	 disgusted regret awful stupid terrible dumb 	-1.930799	52.615169	2014-09-18	125
"@_chvse ion have my phone, i get it tomorrow i told jerri to let you know though"	sadness	 unhappy devastated broken ignored hopeless 	-89.965015	30.047193	2014-09-12	126
@_colormebeauty on me i texted you back 😂 you check your phone shorty	sadness	 unloved guilty ignored useless devastated 	-88.287485	41.710362	2014-10-01	127
@_damfon because when you use your phone your battery goes down	sadness	 useless hopeless guilty ashamed ignored 	-74.000186	40.899221	2014-09-12	128
"@_danitapaul i can't live like this my eyes are sore trying to ignore the cracks, was time for a new phone anyways 😏"	sadness	 miserable nostalgic blue conflicted hopeless 	-61.149196	45.981912	2014-09-04	129
@_davidgalvez9 nigga i called you like three times in school... you shoulda picked up your dumbass phone 😂😂😂😝	disgust	 stupid dumb lame gross ugly 	-72.059694	41.530524	2014-09-17	130
@_faythhakaim thanks lol my phone is tweaking an had it at 5 am lol	joy	 productive fantastic lucky cool welcome 	-81.528325	41.07647	2014-09-24	131
@_filipina_ idk but it was off and i got out of the shower and it was on with the aux cable almost in my phone	joy	 productive satisfied relieved refreshed accomplished 	-98.727625	29.513657	2014-09-08	132
@_hannahboo10 what time will you be home ? chinnel is dead and don't answer her phone lol i left my charger in there 😩	sadness	 helpless hopeless guilty unwanted useless 	-85.758563	38.218382	2014-09-30	133
"@_illlesttt im coming up to the store tomorrow to drop off a phone,  are you working?"	anticipation	 ready stoked pumped anxious optimistic 	-86.326125	32.635688	2014-09-29	134
@_itstaliatime i gotta get off twitter looking stupid and shit laughing at my phone 😂😂😂	disgust	 rough lame dumb blah stupid 	-83.615025	41.661964	2014-09-03	135
"@_kamerynjh yeah, but you never actually get off your phone to study"	sadness	 useless unloved hopeless broken ashamed trapped 	-123.109987	45.522131	2014-09-05	136
@_katiemarsh stop blowing up my phone about that stupid cuddlr app 😒 #creepy	anger	 mad frustrated pissed annoyed furious 	-85.437397	31.465066	2014-09-22	137
@_katievowles @officialrandl nah i remember sprinting up to man with camera but i swear we thought he was just a random man??	sadness	 embarrassed betrayed ashamed unloved awful 	-1.849987	50.73609	2014-09-12	138
@_labebabeiia good!  just watchin tv. and on the phone. dinner and dishes done!  😋	joy	 productive delighted fantastic relieved accomplished joy 	-95.443982	29.73121	2014-09-17	139
@_love2livelife_ no tf. and actually my phone just fucked up and logged out of all the accounts on my phone.	sadness	 embarrassed ashamed upset useless unloved broken 	-86.073481	39.83737	2014-09-27	140
@_lpkm @thqxo_ nb.  you see computer only leh.  my unit bring me till bedok for ne tour sia.  totally burn.	sadness	 broke blue sadness hopeless broken 	103.894607	1.308718	2014-09-04	141
@_madelinelilley it's on computer but you can have a go hahahaha 😏 as soon as it comes out on ps3 i'll get it!!! xxx	trust	 stuck determined optimism optimistic motivated 	-0.093174	52.554662	2014-09-05	142
@_melanie_xoxo_ i use my laptop cuz my camera won't upload so you'll have to come over i edit and stuff from jt	sadness	 hopeless trapped broke useless lonely 	-74.71345	40.150562	2014-09-06	143
@_mrbr1ghtside also my mum is getting my computer cos from the looks of it she has fucked up her laptop.screen cracked and motherboard fried	anger	 angry pissedoff mad bummed anger rage 	-2.703392	53.539331	2014-09-19	144
@_mrbr1ghtside i know what you mean. my computer broke before yours and i could use it intil last friday when i fixed it.	sadness	 devastated embarrassed sadness regret unhappy broken 	-2.703375	53.539325	2014-09-19	145
@_partners4life turn your phone off so you can't check twitter lol	sadness	 ignored unloved hopeless betrayed guilty 	145.206081	-38.080858	2014-09-15	146
@_qhefner did i not bless your phone? you never appreciate me	sadness	 betrayed unloved hopeless useless ashamed upset ignored 	-96.057203	41.28458	2014-09-10	147
@_reemayy no the way you fucking turned around & looked at the camera though. 😂 i didn't even know you could screenshot snap stories.	disgust	 regret ugly hungover disgusted horrible 	-80.88906	35.240004	2014-09-22	148
@_rumorhas_it 😐 i just read this and noticed i didn't reply check your phone in 5 lmao	sadness	 hopeless guilty useless embarrassed unloved 	-78.668892	35.755531	2014-10-01	149
@_ryanelliott lmk know bro i need a new phone mines is a piece of shit	sadness	 unwanted devastated ashamed useless undecided 	-82.23498	27.952624	2014-09-09	150
"@_sharig remember we saw that you get fucked up in front of wagner for stealing the man phone , cdfup"	disgust	 numb rough horrible hungover disgusted 	-75.127318	40.052272	2014-09-01	151
@_shawnnnz you literally changed someone's number to karima in your phone to post this lol	sadness	 unloved hopeless guilty devastated embarrassed 	-82.335785	38.399585	2014-09-10	152
"@_stackedupp what am i supposed to do , stuff it through my phone & hope uu get it lol"	sadness	 depressed upset useless confused broken regret 	-77.519796	38.218012	2014-09-08	153
@_taylordrakee will you stop ignoring my phone calls and answer me	sadness	 unloved ignored neglected broken guilty 	-85.177021	38.674939	2014-09-23	154
@_thesamcook @zeewee11 now that i've deleted everything on my phone 🙏😩😂	joy	 privileged satisfied relieved refreshed optimistic 	-111.908051	40.587495	2014-09-18	155
@_trannguyen i swear i always get the psycho ass ppl on the phone😡	anger	 irritated aggravated pissedoff fedup ill 	-83.157796	42.347139	2014-09-03	156
@_xomilly the fact that they keep their phone in their bra😷 or stinking of fags makes me legit wonna be sick	disgust	 disgusted gross dumb shame ugly 	-0.774008	51.237848	2014-09-17	157
@a_stritt i hate that my phone autocorrects everything i try to say😭	anger	 frustrated angry bummed aggravated pissedoff 	-71.752788	43.209041	2014-09-17	158
"@aadil busy tweeting, caught on camera :d @shubabee @flipkart"	joy	 welcome refreshed warm optimism delighted 	73.89338	18.483731	2014-09-19	159
@aaroncarpenter don't try to update your phone you will regret	sadness	 ignored guilty broken devastated miserable ashamed 	121.048131	14.573162	2014-09-27	160
@aaroncarpenter you don't have a towel but you have your phone! hahaha.	sadness	 unloved hopeless ignored useless broke guilty devastated embarrassed 	-84.347491	10.025135	2014-09-06	161
@abbey_mac and when u get a text and just pull the menu down instead of opening the message it shows a read receipt on their phone	sadness	 ignored embarrassed guilty unloved invisible 	-88.119459	40.120337	2014-09-18	162
@abbeyfurnstahl oh wtf my phone did that before too when i reset it on my itunes i cried for days	sadness	 ashamed embarrassed unloved broke broken regret 	-93.205025	44.802808	2014-09-18	163
@abbierose_m why would you respond to my phone being off with tweeting and texting?	fear	 suspicious concerned awe spooky worried 	-88.407423	43.765474	2014-09-28	164
"@abigailmarieee3 it's funny to me bc i wasn't even posing, i'm literally just hating my life and someone caught it on camera 😂😂"	sadness	 ashamed invisible regret hopeless embarrassed unloved miserable devastated 	-117.273503	33.201922	2014-10-01	165
@adamcottam_ remember when we used to play habbo and use our phone credit to buy furni lmao	sadness	 nostalgic broken ashamed awful useless unloved 	-3.118177	53.405879	2014-09-01	166
@adamcottam_ wtf i am so jealous i wish i had a functioning laptop	sadness	 regret broke helpless lonely embarrassed alone 	-3.118564	53.405934	2014-09-01	167
@adamswainston i didn't take bar pictures :( phone was banished to my mam's bag. saw one person with a phone out 😡	sadness	 devastated ashamed unloved embarrassed regret betrayed 	-0.227835	51.495414	2014-09-03	168
"@adlianaaida @farisha_ali pretty aunty, give back dots phone."	sadness	 incomplete ignored useless broken trapped crappy 	101.684708	3.060779	2014-09-18	169
"@adorama @journo2go @nikonusa this is awesome , great move from nikon built in wi-fi connectivity , i can't wait to have this camera !!"	trust	 empowered pretty ready confident professional 	-80.309452	25.870472	2014-09-12	170
@adtrarm @craicmiester @jamez_idk it's hard to masturbate when my phone keeps going off	sadness	 unloved broke undecided embarrassed neglected 	-0.108027	52.545498	2014-09-06	171
@aestheticzombie right before i threw my phone in an attempt to wave to you...	sadness	 ignored regret hopeless embarrassed sadness broken 	-82.547438	27.358133	2014-09-15	172
"@agibbssy reading, but get the kindle app, it works better in my opinion."	joy	 optimistic optimism satisfied ecstatic content 	-118.030714	33.712635	2014-09-22	173
"@aguspim @dhuntabc7 @chad600espn - i messed up and replied on the computer. darren was signed in, not me!"	sadness	 unhappy ashamed ignored unloved devastated 	-106.366497	31.787394	2014-09-13	174
"@ahhhhshititsben i have an iphone 5, but i was meaning websites cause i was gonna do it from my computer"	sadness	 regret broke embarrassed broken undecided 	-95.88378	36.050169	2014-09-04	175
